ITEMID,LABEL,ABBREVIATION,UNITNAME,PARAM_TYPE,LOWNORMALVALUE,HIGHNORMALVALUE,LINKSTO,CATEGORY,FLUID,COUNT,USE_IN_BENCHMARK
220180,Non Invasive Blood Pressure diastolic,NBPd,mmHg,Numeric,,,chartevents,Routine Vital Signs,,5377689,1
220181,Non Invasive Blood Pressure mean,NBPm,mmHg,Numeric,,,chartevents,Routine Vital Signs,,5372922,1
220210,Respiratory Rate,RR,insp/min,Numeric,,,chartevents,Respiratory,,8636655,1
220224,Arterial O2 pressure,PO2 (Arterial),mmHg,Numeric,,,chartevents,Labs,,420333,1
220227,Arterial O2 Saturation,SaO2,%,Numeric,,,chartevents,Labs,,119101,1
220228,Hemoglobin,Hemoglobin,g/dl,Numeric,,,chartevents,Labs,,598976,1
220235,Arterial CO2 Pressure,PCO2 (Arterial),mmHg,Numeric,,,chartevents,Labs,,420233,1
220277,O2 saturation pulseoxymetry,SpO2,%,Numeric,,,chartevents,Respiratory,,8567015,1
220545,Hematocrit (serum),Hematocrit (serum),,Numeric,,,chartevents,Labs,,593604,1
220546,WBC,WBC,,Numeric,,,chartevents,Labs,,530489,1
220587,AST,AST,,Numeric,,,chartevents,Labs,,166522,1
220603,Cholesterol,Cholesterol,,Numeric,,,chartevents,Labs,,6885,1
220615,Creatinine (serum),Creatinine (serum),,Numeric,,,chartevents,Labs,,590866,1
220621,Glucose (serum),Glucose (serum),,Numeric,,,chartevents,Labs,,584841,1
220632,LDH,LDH,,Numeric,,,chartevents,Labs,,92929,1
220635,Magnesium,Magnesium,,Numeric,,,chartevents,Labs,,575327,1
220644,ALT,ALT,,Numeric,,,chartevents,Labs,,166575,1
220645,Sodium (serum),Sodium (serum),,Numeric,,,chartevents,Labs,,627156,1
220739,GCS - Eye Opening,Eye Opening,,Text,,,chartevents,Neurological,,2209510,1
223761,Temperature Fahrenheit,Temperature F,°F,Numeric,,,chartevents,Routine Vital Signs,,2055040,1
223762,Temperature Celsius,Temperature C,°C,Numeric,,,chartevents,Routine Vital Signs,,394843,1
223830,PH (Arterial),PH (Arterial),,Numeric,,,chartevents,Labs,,432459,1
223835,Inspired O2 Fraction,FiO2,,Numeric,,,chartevents,Respiratory,,1144289,1
223900,GCS - Verbal Response,Verbal Response,,Text,,,chartevents,Neurological,,2205121,1
223901,GCS - Motor Response,Motor Response,,Text,,,chartevents,Neurological,,2199619,1
223951,Capillary Refill R,Capillary Refill R,,Text,,,chartevents,Cardiovascular (Pulses),,954818,1
224167,Manual Blood Pressure Systolic Left,Manual BPs L,mmHg,Numeric,,,chartevents,Routine Vital Signs,,1544,1
224308,Capillary Refill L,Capillary Refill L,,Text,,,chartevents,Cardiovascular (Pulses),,937333,1
224639,Daily Weight,Daily Weight,kg,Numeric,,,chartevents,General,,311627,1
224643,Manual Blood Pressure Diastolic Left,Manual BPd L,mmHg,Numeric,,,chartevents,Routine Vital Signs,,1436,1
224685,Tidal Volume (observed),Tidal Volume (observed),mL,Numeric,299,750,chartevents,Respiratory,,818760,1
224690,Respiratory Rate (Total),Respiratory Rate (Total),insp/min,Numeric,,36,chartevents,Respiratory,,753531,1
225309,ART BP Systolic,ART BP Systolic,mmHg,Numeric,,,chartevents,Routine Vital Signs,,387980,1
225310,ART BP Diastolic,ART BP Diastolic,mmHg,Numeric,,,chartevents,Routine Vital Signs,,387891,1
225312,ART BP Mean,ART BP Mean,mmHg,Numeric,,,chartevents,Routine Vital Signs,,390342,1
225612,Alkaline Phosphate,Alkaline Phosphate,,Numeric,,,chartevents,Labs,,163361,1
225664,Glucose finger stick (range 70-100),Glucose FS (range 70 -100),,Numeric,,,chartevents,Labs,,1024965,1
225690,Total Bilirubin,Total Bilirubin,,Numeric,,,chartevents,Labs,,166153,1
226062,Venous CO2 Pressure,PCO2 (Venous),mmHg,Numeric,,,chartevents,Labs,,73990,1
226063,Venous O2 Pressure,PO2 (Venous),mmHg,Numeric,,,chartevents,Labs,,74173,1
226512,Admission Weight (Kg),Admission Weight (Kg),kg,Numeric,,,chartevents,General,,87394,1
226531,Admission Weight (lbs.),Admission Weight (lbs.),,Numeric,,,chartevents,General,,143674,1
226557,R Ureteral Stent,R Ureteral Stent,mL,Numeric,,,outputevents,Output,,435,1
226558,L Ureteral Stent,L Ureteral Stent,mL,Numeric,,,outputevents,Output,,239,1
226559,Foley,Foley,mL,Numeric,,,outputevents,Output,,3599702,1
226560,Void,Void,mL,Numeric,,,outputevents,Output,,386902,1
226561,Condom Cath,Condom Cath,mL,Numeric,,,outputevents,Output,,83164,1
226563,Suprapubic,Suprapubic,mL,Numeric,,,outputevents,Output,,13567,1
226564,R Nephrostomy,R Nephrostomy,mL,Numeric,,,outputevents,Output,,5911,1
226565,L Nephrostomy,L Nephrostomy,mL,Numeric,,,outputevents,Output,,4992,1
226567,Straight Cath,Straight Cath,mL,Numeric,,,outputevents,Output,,27121,1
226627,OR Urine,OR Urine,mL,Numeric,,,outputevents,Output,,22948,1
226631,PACU Urine,PACU Urine,mL,Numeric,,,outputevents,Output,,2941,1
226707,Height,Height,Inch,Numeric,,,chartevents,General,,43616,1
226730,Height (cm),Height (cm),cm,Numeric,,,chartevents,General,,43616,1
227242,Manual Blood Pressure Diastolic Right,Manual BPd R,mmHg,Numeric,,,chartevents,Routine Vital Signs,,1158,1
227243,Manual Blood Pressure Systolic Right,Manual BPs R,mmHg,Numeric,,,chartevents,Routine Vital Signs,,1255,1
227429,Troponin-T,Troponin-T,,Numeric with tag,,,chartevents,Labs,,69340,1
227442,Potassium (serum),Potassium (serum),,Numeric with tag,,,chartevents,Labs,,628751,1
227456,Albumin,Albumin,,Numeric with tag,,,chartevents,Labs,,81970,1
227457,Platelet Count,Platelet Count,,Numeric with tag,,,chartevents,Labs,,539506,1
228640,EtCO2,EtCO2,,Numeric,,,chartevents,Routine Vital Signs,,159348,1
229280,FiO2 (ECMO),FiO2 (ECMO),%,Numeric,,,chartevents,ECMO,,26636,1
229841,FiO2 (CH),FiO2 (CH),%,Numeric,,,chartevents,ECMO,,4201,1
1000000,Discharge Summary,,,Text,,,discharge,,,0,1
1000001,Diagnosis Descriptions,,,Text,,,,,,0,1
50801,Alveolar-arterial Gradient,,mm Hg,,,,labevents,Blood Gas,Blood,15316,0
50802,Base Excess,,mEq/L,,,,labevents,Blood Gas,Blood,698337,0
50804,Calculated Total CO2,,mEq/L,,,,labevents,Blood Gas,Blood,698337,0
50805,Carboxyhemoglobin,,%,,,,labevents,Blood Gas,Blood,6661,0
50806,"Chloride, Whole Blood",,mEq/L,,,,labevents,Blood Gas,Blood,108168,0
50808,Free Calcium,,mmol/L,,,,labevents,Blood Gas,Blood,370407,0
50812,Intubated,,,,,,labevents,Blood Gas,Blood,187329,0
50814,Methemoglobin,,%,,,,labevents,Blood Gas,Blood,5708,0
50815,O2 Flow,,L/min,,,,labevents,Blood Gas,Blood,11140,0
50816,Oxygen,,%,,,,labevents,Blood Gas,Blood,84054,0
50819,PEEP,,,,,,labevents,Blood Gas,Blood,69302,0
50822,"Potassium, Whole Blood",,mEq/L,,,,labevents,Blood Gas,Blood,333554,0
50823,Required O2,,,,,,labevents,Blood Gas,Blood,15336,0
50824,"Sodium, Whole Blood",,mEq/L,,,,labevents,Blood Gas,Blood,159073,0
50825,Temperature,,,,,,labevents,Blood Gas,Blood,121926,0
50826,Tidal Volume,,,,,,labevents,Blood Gas,Blood,58308,0
50827,Ventilation Rate,,,,,,labevents,Blood Gas,Blood,64392,0
50828,Ventilator,,,,,,labevents,Blood Gas,Blood,75205,0
50829,Fluid Type,,,,,,,Blood Gas,Other Body Fluid,0,0
50830,"pCO2, Body Fluid",,mm Hg,,,,labevents,Blood Gas,Other Body Fluid,2,0
50831,pH,,units,,,,labevents,Blood Gas,Other Body Fluid,7234,0
50832,"pO2, Body Fluid",,mm Hg,,,,labevents,Blood Gas,Other Body Fluid,2,0
50833,Potassium,,,,,,,Blood Gas,Other Body Fluid,0,0
50834,"Sodium, Body Fluid",,,,,,,Blood Gas,Other Body Fluid,0,0
50835,"Albumin, Ascites",,g/dL,,,,labevents,Chemistry,Ascites,8448,0
50836,"Amylase, Ascites",,IU/L,,,,labevents,Chemistry,Ascites,4638,0
50837,"Bicarbonate, Ascites",,mEq/L,,,,labevents,Chemistry,Ascites,43,0
50838,"Bilirubin, Total, Ascites",,mg/dL,,,,labevents,Chemistry,Ascites,3004,0
50839,"Chloride, Ascites",,mEq/L,,,,labevents,Chemistry,Ascites,44,0
50840,"Cholesterol, Ascites",,mg/dL,,,,labevents,Chemistry,Ascites,63,0
50841,"Creatinine, Ascites",,mg/dL,,,,labevents,Chemistry,Ascites,2869,0
50842,"Glucose, Ascites",,mg/dL,,,,labevents,Chemistry,Ascites,7044,0
50843,"Lactate Dehydrogenase, Ascites",,IU/L,,,,labevents,Chemistry,Ascites,4877,0
50844,"Lipase, Ascites",,U/L,,,,labevents,Chemistry,Ascites,152,0
50845,"Miscellaneous, Ascites",,,,,,labevents,Chemistry,Ascites,36,0
50846,"Osmolality, Ascites",,mOsm/kg,,,,labevents,Chemistry,Ascites,7,0
50847,"Potassium, Ascites",,mEq/L,,,,labevents,Chemistry,Ascites,48,0
50848,"Sodium, Ascites",,mEq/L,,,,labevents,Chemistry,Ascites,61,0
50849,"Total Protein, Ascites",,g/dL,,,,labevents,Chemistry,Ascites,10293,0
50850,"Triglycerides, Ascites",,mg/dL,,,,labevents,Chemistry,Ascites,553,0
50851,"Urea Nitrogen, Ascites",,mg/dL,,,,labevents,Chemistry,Ascites,31,0
50852,% Hemoglobin A1c,,%,,,,labevents,Chemistry,Blood,295978,0
50853,25-OH Vitamin D,,ng/mL,,,,labevents,Chemistry,Blood,112354,0
50854,Absolute A1c,,,,,,labevents,Chemistry,Blood,547,0
50855,Absolute Hemoglobin,,,,,,labevents,Chemistry,Blood,547,0
50856,Acetaminophen,,ug/mL,,,,labevents,Chemistry,Blood,107481,0
50857,Acetone,,,,,,labevents,Chemistry,Blood,1650,0
50858,Acid Phosphatase,,,,,,,Chemistry,Blood,0,0
50859,"Acid Phosphatase, Non-Prostatic",,,,,,,Chemistry,Blood,0,0
50860,"AFP, Maternal Screen",,,,,,,Chemistry,Blood,0,0
50864,Alpha-Fetoprotein,,ng/mL,,,,labevents,Chemistry,Blood,39037,0
50865,Amikacin,,ug/mL,,,,labevents,Chemistry,Blood,628,0
50866,Ammonia,,umol/L,,,,labevents,Chemistry,Blood,8364,0
50867,Amylase,,IU/L,,,,labevents,Chemistry,Blood,96286,0
50868,Anion Gap,,mEq/L,,,,labevents,Chemistry,Blood,3925590,0
50869,Anti-DGP (IgA/IgG),,units,,,,labevents,Chemistry,Blood,1674,0
50870,"Anti-Gliadin Antibody, IgA",,units,,,,labevents,Chemistry,Blood,122,0
50871,Anti-Mitochondrial Antibody,,,,,,labevents,Chemistry,Blood,7542,0
50872,Anti-Neutrophil Cytoplasmic Antibody,,,,,,labevents,Chemistry,Blood,8343,0
50873,Anti-Nuclear Antibody,,,,,,labevents,Chemistry,Blood,32302,0
50874,"Anti-Nuclear Antibody, Titer",,,,,,labevents,Chemistry,Blood,9506,0
50875,Anti-Parietal Cell Antibody,,,,,,labevents,Chemistry,Blood,169,0
50876,Anti-Smooth Muscle Antibody,,,,,,labevents,Chemistry,Blood,8220,0
50877,Anti-Thyroglobulin Antibodies,,IU/mL,,,,labevents,Chemistry,Blood,8099,0
50879,Barbiturate Screen,,,,,,labevents,Chemistry,Blood,72901,0
50880,Benzodiazepine Screen,,,,,,labevents,Chemistry,Blood,73009,0
50881,Beta-2 Microglobulin,,mg/L,,,,labevents,Chemistry,Blood,10063,0
50883,"Bilirubin, Direct",,mg/dL,,,,labevents,Chemistry,Blood,120044,0
50884,"Bilirubin, Indirect",,mg/dL,,,,labevents,Chemistry,Blood,109931,0
50886,Blood Culture Hold,,,,,,,Chemistry,Blood,0,0
50887,Blue Top Hold,,,,,,labevents,Chemistry,Blood,340050,0
50888,Blue Top Hold Frozen,,,,,,labevents,Chemistry,Blood,408,0
50889,C-Reactive Protein,,mg/L,,,,labevents,Chemistry,Blood,178039,0
50890,C3,,mg/dL,,,,labevents,Chemistry,Blood,15112,0
50891,C4,,mg/dL,,,,labevents,Chemistry,Blood,15864,0
50892,CA-125,,U/mL,,,,labevents,Chemistry,Blood,18850,0
50893,"Calcium, Total",,mg/dL,,,,labevents,Chemistry,Blood,2969588,0
50894,Calculated Free Testosterone,,pg/mL,,,,labevents,Chemistry,Blood,8268,0
50895,Calculated TBG,,Ratio,,,,labevents,Chemistry,Blood,9404,0
50896,Calculated Thyroxine (T4) Index,,ug/dL,,,,labevents,Chemistry,Blood,9323,0
50897,Call,,,,,,,Chemistry,Blood,0,0
50898,Cancer Antigen 27.29,,U/mL,,,,labevents,Chemistry,Blood,10309,0
50899,Carbamazepine,,ug/mL,,,,labevents,Chemistry,Blood,3493,0
50900,Carcinoembyronic Antigen (CEA),,ng/mL,,,,labevents,Chemistry,Blood,52172,0
50901,Centromere,,,,,,labevents,Chemistry,Blood,797,0
50902,Chloride,,mEq/L,,,,labevents,Chemistry,Blood,4055101,0
50903,Cholesterol Ratio (Total/HDL),,Ratio,,,,labevents,Chemistry,Blood,314537,0
50904,"Cholesterol, HDL",,mg/dL,,,,labevents,Chemistry,Blood,315909,0
50905,"Cholesterol, LDL, Calculated",,mg/dL,,,,labevents,Chemistry,Blood,288565,0
50906,"Cholesterol, LDL, Measured",,mg/dL,,,,labevents,Chemistry,Blood,50442,0
50908,CK-MB Index,,%,,,,labevents,Chemistry,Blood,28896,0
50909,Cortisol,,ug/dL,,,,labevents,Chemistry,Blood,33006,0
50910,Creatine Kinase (CK),,IU/L,,,,labevents,Chemistry,Blood,334746,0
50911,"Creatine Kinase, MB Isoenzyme",,ng/mL,,,,labevents,Chemistry,Blood,266856,0
50913,Cryoglobulin,,,,,,labevents,Chemistry,Blood,2335,0
50914,Cyclosporin,,ng/mL,,,,labevents,Chemistry,Blood,24783,0
50915,D-Dimer,,ng/mL,,,,labevents,Chemistry,Blood,23554,0
50916,DHEA-Sulfate,,ug/dL,,,,labevents,Chemistry,Blood,2372,0
50917,Digoxin,,ng/mL,,,,labevents,Chemistry,Blood,13570,0
50918,Double Stranded DNA,,U/mL,,,,labevents,Chemistry,Blood,9395,0
50919,EDTA Hold,,,,,,labevents,Chemistry,Blood,104179,0
50920,Estimated GFR (MDRD equation),,,,,,labevents,Chemistry,Blood,1665881,0
50921,Estradiol,,pg/mL,,,,labevents,Chemistry,Blood,4391,0
50922,Ethanol,,mg/dL,,,,labevents,Chemistry,Blood,111186,0
50923,Fax,,,,,,,Chemistry,Blood,0,0
50924,Ferritin,,ng/mL,,,,labevents,Chemistry,Blood,190312,0
50925,Folate,,ng/mL,,,,labevents,Chemistry,Blood,66692,0
50926,Follicle Stimulating Hormone,,mIU/mL,,,,labevents,Chemistry,Blood,11091,0
50927,Gamma Glutamyltransferase,,IU/L,,,,labevents,Chemistry,Blood,20860,0
50928,Gastrin,,,,,,,Chemistry,Blood,0,0
50929,Gentamicin,,ug/mL,,,,labevents,Chemistry,Blood,3514,0
50930,Globulin,,g/dL,,,,labevents,Chemistry,Blood,169519,0
50932,Gray Top Hold (plasma),,,,,,labevents,Chemistry,Blood,7822,0
50933,Green Top Hold (plasma),,,,,,labevents,Chemistry,Blood,395966,0
50934,H,,U,,,,labevents,Chemistry,Blood,2663959,0
50935,Haptoglobin,,mg/dL,,,,labevents,Chemistry,Blood,58515,0
50936,"HCG, Maternal Screen",,,,,,,Chemistry,Blood,0,0
50937,Hepatitis A Virus Antibody,,Pos/Neg,,,,labevents,Chemistry,Blood,23301,0
50938,Hepatitis A Virus IgM Antibody,,,,,,labevents,Chemistry,Blood,6868,0
50939,"Hepatitis B Core Antibody, IgM",,,,,,labevents,Chemistry,Blood,4337,0
50940,Hepatitis B Surface Antibody,,,,,,labevents,Chemistry,Blood,71334,0
50941,Hepatitis B Surface Antigen,,,,,,labevents,Chemistry,Blood,84065,0
50942,Hepatitis B Virus Core Antibody,,,,,,labevents,Chemistry,Blood,54235,0
50943,Hepatitis C Virus Antibody,,,,,,labevents,Chemistry,Blood,83177,0
50945,Homocysteine,,umol/L,,,,labevents,Chemistry,Blood,2666,0
50946,Human Chorionic Gonadotropin,,mIU/mL,,,,labevents,Chemistry,Blood,44585,0
50947,I,,U,,,,labevents,Chemistry,Blood,2663909,0
50948,Immunofixation,,,,,,labevents,Chemistry,Blood,12600,0
50949,Immunoglobulin A,,mg/dL,,,,labevents,Chemistry,Blood,56364,0
50950,Immunoglobulin G,,mg/dL,,,,labevents,Chemistry,Blood,62142,0
50951,Immunoglobulin M,,mg/dL,,,,labevents,Chemistry,Blood,49266,0
50952,Iron,,ug/dL,,,,labevents,Chemistry,Blood,156199,0
50953,"Iron Binding Capacity, Total",,ug/dL,,,,labevents,Chemistry,Blood,138568,0
50955,Light Green Top Hold,,,,,,labevents,Chemistry,Blood,306915,0
50956,Lipase,,IU/L,,,,labevents,Chemistry,Blood,293247,0
50957,Lithium,,mmol/L,,,,labevents,Chemistry,Blood,8890,0
50958,Luteinizing Hormone,,mIU/mL,,,,labevents,Chemistry,Blood,6990,0
50959,Macro Prolactin,,,,,,labevents,Chemistry,Blood,31,0
50961,Methotrexate,,umol/L,,,,labevents,Chemistry,Blood,7711,0
50962,N-Acetylprocainamide (NAPA),,ug/mL,,,,labevents,Chemistry,Blood,24,0
50963,NTproBNP,,pg/mL,,,,labevents,Chemistry,Blood,98206,0
50964,"Osmolality, Measured",,mOsm/kg,,,,labevents,Chemistry,Blood,52929,0
50965,Parathyroid Hormone,,pg/mL,,,,labevents,Chemistry,Blood,63748,0
50966,Phenobarbital,,ug/mL,,,,labevents,Chemistry,Blood,3940,0
50967,Phenytoin,,ug/mL,,,,labevents,Chemistry,Blood,24448,0
50968,"Phenytoin, Free",,ug/mL,,,,labevents,Chemistry,Blood,763,0
50969,"Phenytoin, Percent Free",,%,,,,labevents,Chemistry,Blood,729,0
50970,Phosphate,,mg/dL,,,,labevents,Chemistry,Blood,2814319,0
50972,Procainamide,,ug/mL,,,,labevents,Chemistry,Blood,24,0
50973,Prolactin,,ng/mL,,,,labevents,Chemistry,Blood,12304,0
50974,Prostate Specific Antigen,,ng/mL,,,,labevents,Chemistry,Blood,76282,0
50975,Protein Electrophoresis,,,,,,labevents,Chemistry,Blood,56769,0
50976,"Protein, Total",,g/dL,,,,labevents,Chemistry,Blood,217309,0
50977,Quinidine,,,,,,,Chemistry,Blood,0,0
50978,Rapamycin,,ng/mL,,,,labevents,Chemistry,Blood,12542,0
50979,Red Top Hold,,,,,,labevents,Chemistry,Blood,236627,0
50980,Rheumatoid Factor,,IU/mL,,,,labevents,Chemistry,Blood,13799,0
50981,Salicylate,,mg/dL,,,,labevents,Chemistry,Blood,105393,0
50982,Sex Hormone Binding Globulin,,nmol/L,,,,labevents,Chemistry,Blood,8787,0
50984,Stat,,,,,,,Chemistry,Blood,0,0
50985,Study Tubes,,,,,,,Chemistry,Blood,0,0
50986,tacroFK,,ng/mL,,,,labevents,Chemistry,Blood,128622,0
50988,Testosterone,,ng/dL,,,,labevents,Chemistry,Blood,22417,0
50989,"Testosterone, Free",,pg/mL,,,,labevents,Chemistry,Blood,2236,0
50990,Theophylline,,ug/mL,,,,labevents,Chemistry,Blood,110,0
50991,Thyroglobulin,,ng/mL,,,,labevents,Chemistry,Blood,5850,0
50992,Thyroid Peroxidase Antibodies,,IU/mL,,,,labevents,Chemistry,Blood,5893,0
50993,Thyroid Stimulating Hormone,,uIU/mL,,,,labevents,Chemistry,Blood,409257,0
50994,Thyroxine (T4),,ug/dL,,,,labevents,Chemistry,Blood,25802,0
50995,"Thyroxine (T4), Free",,ng/dL,,,,labevents,Chemistry,Blood,134212,0
50996,"Tissue Transglutaminase Ab, IgA",,units,,,,labevents,Chemistry,Blood,18523,0
50997,Tobramycin,,ug/mL,,,,labevents,Chemistry,Blood,2170,0
50998,Transferrin,,mg/dL,,,,labevents,Chemistry,Blood,138796,0
50999,Tricyclic Antidepressant Screen,,,,,,labevents,Chemistry,Blood,101163,0
51000,Triglycerides,,mg/dL,,,,labevents,Chemistry,Blood,330107,0
51001,Triiodothyronine (T3),,ng/dL,,,,labevents,Chemistry,Blood,24395,0
51002,Troponin I,,,,,,,Chemistry,Blood,0,0
51004,"UE3, Maternal Screen",,,,,,,Chemistry,Blood,0,0
51005,Uptake Ratio,,Ratio,,,,labevents,Chemistry,Blood,9377,0
51007,Uric Acid,,mg/dL,,,,labevents,Chemistry,Blood,192252,0
51008,Valproic Acid,,ug/mL,,,,labevents,Chemistry,Blood,14472,0
51009,Vancomycin,,ug/mL,,,,labevents,Chemistry,Blood,119231,0
51010,Vitamin B12,,pg/mL,,,,labevents,Chemistry,Blood,133208,0
51019,"Albumin, Joint Fluid",,g/dL,,,,labevents,Chemistry,Joint Fluid,9,0
51020,"Amylase, Joint Fluid",,IU/L,,,,labevents,Chemistry,Joint Fluid,6,0
51021,"Creatinine, Joint Fluid",,mg/dL,,,,labevents,Chemistry,Joint Fluid,3,0
51022,"Glucose, Joint Fluid",,mg/dL,,,,labevents,Chemistry,Joint Fluid,171,0
51023,"LD, Joint Fluid",,IU/L,,,,labevents,Chemistry,Joint Fluid,41,0
51024,"Total Protein, Joint Fluid",,g/dL,,,,labevents,Chemistry,Joint Fluid,132,0
51025,"Albumin, Body Fluid",,g/dL,,,,labevents,Chemistry,Other Body Fluid,827,0
51026,"Amylase, Body Fluid",,IU/L,,,,labevents,Chemistry,Other Body Fluid,1476,0
51027,"Bicarbonate, Other Fluid",,mEq/L,,,,labevents,Chemistry,Other Body Fluid,203,0
51028,"Bilirubin, Total, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,450,0
51029,"Calcium, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,11,0
51030,"Chloride, Body Fluid",,mEq/L,,,,labevents,Chemistry,Other Body Fluid,33,0
51031,"Cholesterol, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,20,0
51032,"Creatinine, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,508,0
51033,FetalFN,,,,,,labevents,Chemistry,Other Body Fluid,1402,0
51034,"Glucose, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,928,0
51035,"LD, Body Fluid",,IU/L,,,,labevents,Chemistry,Other Body Fluid,824,0
51036,"Lipase, Body Fluid",,U/L,,,,labevents,Chemistry,Other Body Fluid,74,0
51037,"Magnesium, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,9,0
51038,"Miscellaneous, Body Fluid",,,,,,labevents,Chemistry,Other Body Fluid,771,0
51039,"Osmolality, Body Fluid",,mOsm/kg,,,,labevents,Chemistry,Other Body Fluid,11,0
51040,"Phosphate, Body Fluid",,mg/dL,,,,labevents,Chemistry,Other Body Fluid,11,0
51041,"Potassium, Body Fluid",,mEq/L,,,,labevents,Chemistry,Other Body Fluid,41,0
51042,"Sodium, Body Fluid",,mEq/L,,,,labevents,Chemistry,Other Body Fluid,45,0
51043,"Total Protein, Body Fluid",,g/dL,,,,labevents,Chemistry,Other Body Fluid,915,0
